title,date,url
Guarding Sexual Purity,"November 20, 2025",https://newbreak.church/guarding-sexual-purity/
Choosing Kindness in a Cancel Culture,"November 10, 2025",https://newbreak.church/choosing-kindness-in-a-cancel-culture/
Creating a Faith-Filled Home in San Diego,"November 4, 2025",https://newbreak.church/creating-a-faith-filled-home-in-san-diego/
When Resistance Rises… Remember This!,"September 1, 2025",https://newbreak.church/when-resistance-rises-remember-this/
When a Burdened Heart Meets the Promises of God,"August 25, 2025",https://newbreak.church/when-a-burdened-heart-meets-the-promises-of-god/
The Day God Opened My Ears,"August 15, 2025",https://newbreak.church/the-day-god-opened-my-ears/
How to Access God’s Strength,"June 17, 2025",https://newbreak.church/how-to-access-gods-strength/
Meditation is the Key to a Flourishing Life,"June 11, 2025",https://newbreak.church/meditation-is-the-key-to-a-flourishing-life/
Women’s Leadership in the Church Isn’t Optional,"June 5, 2025",https://newbreak.church/womens-leadership-in-the-church-isnt-optional/
Modeling Christ for the Next Generation,"May 14, 2025",https://newbreak.church/modeling-christ-for-the-next-generation/
How to Honor God and Government,"May 6, 2025",https://newbreak.church/how-to-honor-god-and-government/
Slow Down to Hear Christ’s Voice: God Still Speaks!,"April 30, 2025",https://newbreak.church/voice-of-god/
You Are Under Construction,"June 10, 2024",https://newbreak.church/article-you-are-under-construction/
Jesus at the Center,"June 3, 2024",https://newbreak.church/article-jesus-at-the-center/
Let’s Grow,"May 27, 2024",https://newbreak.church/lets-grow/
Praying God-Sized Prayers,"May 20, 2024",https://newbreak.church/praying-god-sized-prayers/
The Ephesians Test,"May 9, 2024",https://newbreak.church/the-ephesians-test/
Finding Purpose in Your Pain,"April 17, 2024",https://newbreak.church/finding-purpose-in-your-pain/
The Gospel and Baseball,"April 9, 2024",https://newbreak.church/the-gospel-and-baseball/
Set Apart for a Purpose,"March 25, 2024",https://newbreak.church/set-apart-for-a-purpose/
When You’re Disconnecting from God,"March 18, 2024",https://newbreak.church/when-youre-disconnecting-from-god/
The church’s secret weapon.,"March 12, 2024",https://newbreak.church/the-churchs-secret-weapon/
Jesus Speaks Life Into The Dead Places,"March 4, 2024",https://newbreak.church/jesus-speaks-life-into-the-dead-places/
How to Listen for the Voice of Jesus,"February 26, 2024",https://newbreak.church/how-to-listen-for-the-voice-of-jesus/
God of Miracles,"February 14, 2024",https://newbreak.church/god-of-miracles/
Vision without Execution is Hallucination,"February 6, 2024",https://newbreak.church/vision-without-execution-is-hallucination/
Jesus Wants to Meet You,"January 29, 2024",https://newbreak.church/jesus-wants-to-meet-you/
What the Wind and the Holy Spirit Have in Common (and Why it Matters!),"January 22, 2024",https://newbreak.church/what-the-wind-and-the-holy-spirit-have-in-common-and-why-it-matters/
What do you do when your wine runs out?,"January 15, 2024",https://newbreak.church/what-do-you-do-when-your-wine-runs-out/
Who is Jesus?,"January 8, 2024",https://newbreak.church/who-is-jesus/
Holding onto God’s Promises,"January 1, 2024",https://newbreak.church/holding-onto-gods-promises/
The Serious Business of Heaven,"December 18, 2023",https://newbreak.church/the-serious-business-of-heaven/
Juggling Worry,"December 14, 2023",https://newbreak.church/juggling-worry/
An Announcement from Newbreak’s Board of Elders Regarding the Wachs’ Resignation,"November 30, 2023",https://newbreak.church/an-announcement-from-newbreaks-board-of-elders-regarding-the-wachs-resignation/
Robert Wachs’ Resignation,"November 29, 2023",https://newbreak.church/robert-wachs-resignation/
"“God, Just Tell Me What to Do Next!”","November 6, 2023",https://newbreak.church/holy-spirit-guidance/
Pregnancy Loss,"April 4, 2023",https://newbreak.church/pregnancy-loss/
"You Are Not Just Talented, You Are Spiritually Gifted","February 11, 2023",https://newbreak.church/spiritually-gifted/
A Lesson in Reading the “Commands” of Scripture,"January 14, 2023",https://newbreak.church/reading-commands/
Living with Purpose,"January 12, 2023",https://newbreak.church/living-with-purpose/
You Were Loved Into Existence,"January 7, 2023",https://newbreak.church/loved-into-existence/
Bible Verses to Ground Your Day in Gratitude,"November 19, 2022",https://newbreak.church/thanksgiving-verses/
"Be Busy, Not Hurried","November 12, 2022",https://newbreak.church/busy-not-hurried/
5 Things You Can Do TODAY to Improve Your Communication!,"October 22, 2022",https://newbreak.church/5-communication-tools/
How the Church is More Like an Amateur Children’s Play Than a Show on Broadway,"October 8, 2022",https://newbreak.church/messy-church/
What If You Never Understand Why You Went Through That Unbearably Painful Circumstance?,"September 24, 2022",https://newbreak.church/suffering-without-answers/
What If the Church Was a Family?,"September 3, 2022",https://newbreak.church/church-as-family/
What We Can Learn from the Liturgy of Seasons,"August 26, 2022",https://newbreak.church/liturgy-of-seasons/
Redeeming Our Regrets,"August 15, 2022",https://newbreak.church/regret/
Combatting Complacency So I Press On Toward All God Has For Me,"July 28, 2022",https://newbreak.church/combatting-complacency/
How to Pray a Blessing Over Your Kids,"July 9, 2022",https://newbreak.church/praying-blessing/
3 Ways to Express Affirmation to Others (But Especially Your Kids!),"June 18, 2022",https://newbreak.church/affirmation/
Who Do We Trust: Almighty God or the Almighty Dollar?,"June 6, 2022",https://newbreak.church/in-god-we-trust/
Uprooting the “Strongholds” in Our Mind,"May 19, 2022",https://newbreak.church/uprooting-strongholds/
What Gave the Israelites the Right to “Invade” Canaan?,"March 9, 2022",https://newbreak.church/israel-conquest/
How God’s Joy is Better Than Instant Gratification,"February 22, 2022",https://newbreak.church/lasting-joy/
Where Was Jesus Before the Gospels?,"February 8, 2022",https://newbreak.church/theophany/
Made For More Than Manna,"February 4, 2022",https://newbreak.church/manna/
Where Does Courage Come From?,"January 14, 2022",https://newbreak.church/courage/
The Gates of Hell or Hades? What’s the Difference?,"December 3, 2021",https://newbreak.church/gates-of-hades/
When We Look Like Our Heavenly Father,"October 16, 2021",https://newbreak.church/when-we-look-like-our-heavenly-father/
Newbreak Church is Committed to Tierrasanta,"September 14, 2021",https://newbreak.church/newbreak-church-is-committed-to-tierrasanta/
Happy Are the Unhappy,"September 10, 2021",https://newbreak.church/happy-are-the-unhappy/
The Hidden Surprise in the Story of Mary and Martha,"August 3, 2021",https://newbreak.church/cultural-context/
5 Insights on Relationships from the Past Two Years,"July 30, 2021",https://newbreak.church/5-insights-on-relationships/
Community > Individualism,"July 23, 2021",https://newbreak.church/community-individualism/
Reframing the Question We Ask Every Kid,"July 15, 2021",https://newbreak.church/reframing-the-question/
The Power of Prepositions,"July 9, 2021",https://newbreak.church/the-power-of-prepositions/
